PassengerId,Survived
892,0.05333333333333334
893,0.0
894,0.31
895,0.22
896,0.46
897,0.49
898,0.1352077497665733
899,0.82
900,0.3
901,0.15
902,0.0
903,0.27649999999999997
904,0.78
905,0.16
906,0.3
907,0.85
908,0.38
909,0.70875
910,0.74
911,0.020857142857142855
912,0.7
913,0.46
914,0.13
915,0.58
916,0.77
917,0.03
918,0.89
919,0.6828690476190477
920,0.29266666666666663
921,0.345
922,0.23
923,0.89
924,0.28
925,0.09
926,0.95
927,0.3
928,0.0
929,0.0
930,0.02
931,0.66
932,0.24166666666666667
933,0.2253333333333333
934,0.07500000000000001
935,0.38461904761904764
936,0.435
937,0.32
938,0.1635
939,0.5663961136902314
940,0.89
941,0.6
942,0.91
943,0.175
944,0.79
945,0.7
946,0.500452380952381
947,0.03
948,0.0
949,0.29
950,0.6303809523809524
951,0.8
952,0.32
953,0.2316190476190476
954,0.71
955,0.49
956,0.73
957,0.6833333333333335
958,0.62
959,0.3
960,0.14
961,0.4
962,0.6792905982905981
963,0.0
964,0.64
965,0.65
966,0.93
967,0.94
968,0.0
969,0.57
970,0.38461904761904764
971,0.6792905982905981
972,0.91
973,0.69
974,0.7
975,0.0
976,0.07333333333333333
977,0.01
978,0.6025
979,0.82
980,0.5663961136902314
981,0.96
982,0.15
983,0.6637142857142857
984,0.86
985,0.0
986,0.79
987,0.24644047619047615
988,0.68
989,0.64
990,0.25
991,0.013333333333333332
992,0.42
993,0.34
994,0.5663961136902314
995,0.17550000000000002
996,0.55
997,0.25
998,0.565
999,0.5663961136902314
1000,0.15
1001,0.035
1002,0.49
1003,0.6637142857142857
1004,0.5660000000000001
1005,0.14
1006,0.77
1007,0.25
1008,0.0
1009,0.86
1010,0.65
1011,0.63
1012,0.74
1013,0.5663961136902314
1014,0.96
1015,0.0
1016,0.5663961136902314
1017,0.41
1018,0.29333333333333333
1019,0.7066666666666666
1020,0.95
1021,0.07
1022,0.02333333333333333
1023,0.3
1024,0.1
1025,0.0
1026,0.0705
1027,0.2990595238095238
1028,0.41932142857142857
1029,0.09666666666666668
1030,0.08
1031,0.3
1032,0.02
1033,0.99
1034,0.44
1035,0.64
1036,0.512
1037,0.5712142857142857
1038,0.85
1039,0.1
1040,0.2253333333333333
1041,0.54
1042,0.7
1043,0.0
1044,0.38
1045,0.39
1046,0.14
1047,0.14583333333333334
1048,0.91
1049,0.1675
1050,0.512
1051,0.5
1052,0.1410963334051569
1053,0.91
1054,0.235
1055,0.0
1056,0.95
1057,0.44
1058,0.53
1059,0.03
1060,0.05
1061,0.0
1062,0.0
1063,0.3352738095238095
1064,0.16
1065,0.011428571428571429
1066,0.4
1067,0.61
1068,0.41
1069,0.35
1070,0.43
1071,0.24
1072,0.38461904761904764
1073,0.52
1074,0.27
1075,0.5663961136902314
1076,0.54
1077,0.81
1078,0.81
1079,0.64
1080,0.02
1081,0.84
1082,0.12
1083,0.1
1084,0.83
1085,0.18
1086,0.96
1087,0.08
1088,0.84
1089,0.08
1090,0.0
1091,0.56
1092,0.5116944444444446
1093,0.95
1094,0.78
1095,0.94
1096,0.003333333333333333
1097,0.11333333333333334
1098,0.13621467421467423
1099,0.0125
1100,0.61
1101,0.02
1102,0.54
1103,0.0
1104,0.22
1105,0.24
1106,0.1
1107,0.25
1108,0.62
1109,0.81
1110,0.95
1111,0.0
1112,0.24845238095238092
1113,0.13
1114,0.0
1115,0.6616666666666666
1116,0.53
1117,0.8433015873015873
1118,0.26583333333333337
1119,0.5663961136902314
1120,0.16399999999999998
1121,0.21983333333333335
1122,0.56
1123,0.88
1124,0.07
1125,0.62
1126,0.42
1127,0.25
1128,0.71
1129,0.7875
1130,0.325
1131,0.96
1132,0.36
1133,0.6266666666666666
1134,0.71
1135,0.62
1136,0.09
1137,0.22
1138,0.67
1139,0.5066666666666666
1140,0.63
1141,0.01
1142,0.97
1143,0.66
1144,0.93
1145,0.0
1146,0.14
1147,0.0
1148,0.5663961136902314
1149,0.07
1150,0.025
1151,0.7266666666666666
1152,0.5583333333333332
1153,0.14
1154,0.79
1155,0.98
1156,0.31711904761904763
1157,0.0
1158,0.02
1159,0.0
1160,0.0
1161,0.04
1162,0.47
1163,0.5663961136902314
1164,0.9
1165,0.5116944444444446
1166,0.05170238095238095
1167,0.79
1168,0.25
1169,0.2
1170,0.6833333333333335
1171,0.0
1172,0.0
1173,0.95
1174,0.5663961136902314
1175,0.91
1176,0.35
1177,0.0
1178,0.0
1179,0.73
1180,0.011428571428571429
1181,0.0
1182,0.08
1183,0.0
1184,0.011428571428571429
1185,0.39
1186,0.18
1187,0.325
1188,0.91
1189,0.345
1190,0.13
1191,0.4016666666666666
1192,0.13714285714285715
1193,0.14566666666666667
1194,0.6
1195,0.0
1196,0.5663961136902314
1197,0.34
1198,0.9
1199,0.82
1200,0.71
1201,0.0325
1202,0.5
1203,0.6828690476190477
1204,0.042738095238095235
1205,0.06256740481740482
1206,0.97
1207,0.59
1208,0.96
1209,0.01
1210,0.4232857142857142
1211,0.87
1212,0.17550000000000002
1213,0.17142857142857143
1214,0.09666666666666668
1215,0.8953333333333333
1216,0.87
1217,0.05
1218,0.82
1219,0.3
1220,0.63
1221,0.05166666666666666
1222,0.69
1223,0.17600000000000002
1224,0.05170238095238095
1225,0.47666666666666674
1226,0.23
1227,0.1
1228,0.331452380952381
1229,0.048095238095238094
1230,0.85
1231,0.011428571428571429
1232,0.2
1233,0.018571428571428572
1234,0.3
1235,0.71
1236,0.19
1237,0.72
1238,0.09666666666666668
